review,rating,place_index
"phục vụ nhiệt tình nhanh chóng không gian thoáng💕💕💕",5,1
"Bai gui xe rộng, nhân viên dễ thương, tư vấn nhiệt tình",5,1
"Không gian sạch sẻ nhân viên vui vẻ nhiệt tình",5,1
"đồ ăn ngon, nhân viên nhiệt tình , quản lí dễ thương",5,1
"đồ ăn ngon , phục vụ nhanh .",5,1
"Gà siêu ngon, nhân viên nhiệt tình, thân thiện ❤️",5,1
"quán ăn sạch sẽ, nhân viên thân thiện",5,1
"Nhân viên ko chịu đưa hoá đơn, cố tình tính tiền sai, đồ ăn mang ra thiếu, cố tính ko làm, nhắc 2 lần mới làm, làm xong thì khách ăn xong rồi. Đây ko phải lần đầu tiên.",1,1
"Món ăn rất ngon giá cả hợp túi tien",5,1
"Đã ủng hộ ở đây rất nhiều lần❤️ nhân viên ở đây cực kì nhiệt tình. Mình ngồi chờ thì có chú Xanh SM k biết sử dụng máy oder có anh nhân viên ra chỉ dẫn tận tình, có mấy hôm mình đi T7 CN hơi đông chị nhân viên còn tặng cho mình thêm ly nước, đã v còn xin lỗi mình quá tr luôn❤️❤️❤️",5,1
